Year,Gender,Count
2004,Female,27385
2004,Male,34139
2005,Female,27390
2005,Male,33986
2006,Female,27290
2006,Male,33522
2007,Female,28596
2007,Male,34574
2008,Female,29048
2008,Male,34690
2009,Female,29390
2009,Male,35136
2010,Female,30533
2010,Male,35798
2011,Female,31611
2011,Male,37451
2012,Female,32871
2012,Male,38121
2013,Female,33456
2013,Male,38080
2014,Female,34645
2014,Male,39806
2015,Female,34106
2015,Male,39773
2016,Female,35035
2016,Male,40661
2017,Female,35017
2017,Male,41616
2018,Female,36321
2018,Male,42593
2019,Female,36723
2019,Male,43801
2020,Female,35662
2020,Male,42165
